Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Oscar Dansk,VGK,19-20,1,3.09,6,-2.91,-0.48,37,91.64,83.78,-7.85,59.85,50,93.81,88.0,-5.81,-2.63
Oscar Dansk,VGK,20-21,1,2.9,4,-1.1,-0.16,29,89.99,86.21,-3.78,60.62,39,92.56,89.74,-2.81,-0.84
Pascal Leclaire,CBJ,07-08,53,97.88,107,-8.12,0.1,1328,92.63,91.94,-0.69,2886.27,1754,94.42,93.9,-0.52,0.5
Pascal Leclaire,CBJ,08-09,11,27.16,38,-10.84,-1.57,307,91.15,87.62,-3.53,607.48,401,93.23,90.52,-2.7,-8.42
Pascal Leclaire,OTT,09-10,34,79.91,92,-12.09,-0.94,821,90.27,88.79,-1.47,1740.78,1146,93.03,91.97,-1.06,-4.88
Pascal Leclaire,OTT,10-11,14,36.75,36,0.75,0.79,391,90.6,90.79,0.19,758.18,542,93.22,93.36,0.14,4.04
Patrick Lalime,CHI,07-08,32,70.76,86,-12.24,-1.12,833,91.51,89.68,-1.83,1815.95,1074,93.41,91.99,-1.42,-5.68
Patrick Lalime,BUF,08-09,23,54.08,66,-10.92,-1.12,636,91.5,89.62,-1.87,1224.58,849,93.63,92.23,-1.4,-5.96
Patrick Lalime,BUF,09-10,16,40.87,40,1.87,1.08,430,90.5,90.7,0.2,827.32,600,93.19,93.33,0.14,5.61
Patrick Lalime,BUF,10-11,7,16.23,19,-2.77,-0.24,164,90.11,88.41,-1.69,366.13,248,93.46,92.34,-1.12,-1.23
Pavel Francouz,COL,18-19,2,1.41,2,0.41,0.1,35,95.98,94.29,-1.69,43.47,45,96.87,95.56,-1.32,0.55
Pavel Francouz,COL,19-20,34,80.61,76,7.61,2.79,994,91.89,92.35,0.46,1887.28,1329,93.93,94.28,0.35,15.12
Pekka Rinne,NSH,07-08,1,0.73,0,0.73,0.16,8,90.9,100.0,9.1,29.4,11,93.38,100.0,6.62,0.8
Pekka Rinne,NSH,08-09,52,122.46,118,8.46,3.75,1432,91.45,91.76,0.31,2969.7,1947,93.71,93.94,0.23,20.06
Pekka Rinne,NSH,09-10,58,136.84,137,5.84,3.56,1541,91.12,91.11,-0.01,3205.32,2081,93.42,93.42,-0.01,18.54
Pekka Rinne,NSH,10-11,64,155.36,133,25.36,7.75,1903,91.84,93.01,1.18,3767.67,2583,93.99,94.85,0.87,39.67
Pekka Rinne,NSH,11-12,73,162.64,166,-2.36,2.56,2153,92.45,92.29,-0.16,4134.62,2955,94.5,94.38,-0.11,12.77
Pekka Rinne,NSH,12-13,43,80.61,96,-13.39,-1.18,1090,92.6,91.19,-1.41,2414.48,1538,94.76,93.76,-1.0,-5.85
Pekka Rinne,NSH,13-14,24,47.25,63,-14.75,-2.09,644,92.66,90.22,-2.45,1355.7,889,94.69,92.91,-1.77,-10.43
Pekka Rinne,NSH,14-15,64,129.81,139,-1.19,2.21,1804,92.8,92.29,-0.51,3798.3,2470,94.74,94.37,-0.37,10.84
Pekka Rinne,NSH,15-16,66,128.36,161,-28.64,-3.44,1744,92.64,90.77,-1.87,3848.25,2331,94.49,93.09,-1.4,-16.7
Pekka Rinne,NSH,16-17,61,135.29,144,-6.71,1.16,1742,92.23,91.73,-0.5,3512.52,2415,94.4,94.04,-0.36,5.85
Pekka Rinne,NSH,17-18,59,153.88,134,22.88,6.91,1841,91.64,92.72,1.08,3435.82,2465,93.76,94.56,0.81,37.15
Pekka Rinne,NSH,18-19,56,136.57,129,11.57,4.52,1579,91.35,91.83,0.48,3184.43,2149,93.64,94.0,0.35,24.59
Pekka Rinne,NSH,19-20,36,85.01,105,-17.99,-1.87,1001,91.51,89.51,-2.0,1971.5,1384,93.86,92.41,-1.44,-10.12
Pekka Rinne,NSH,20-21,24,51.71,62,-9.29,-0.85,663,92.2,90.65,-1.55,1298.18,863,94.01,92.82,-1.19,-4.51
Peter Budaj,COL,07-08,33,71.48,78,-5.52,0.2,798,91.04,90.23,-0.82,1777.72,1129,93.67,93.09,-0.58,0.99
Peter Budaj,COL,08-09,54,130.19,149,-17.81,-1.11,1487,91.24,89.98,-1.26,3100.48,2104,93.81,92.92,-0.89,-5.91
Peter Budaj,COL,09-10,15,31.97,32,-0.03,0.57,386,91.72,91.71,-0.01,723.15,545,94.13,94.13,-0.01,2.95
Peter Budaj,COL,10-11,45,109.78,129,-15.22,-1.02,1232,91.09,89.53,-1.56,2428.83,1758,93.76,92.66,-1.09,-5.24
Peter Budaj,MTL,11-12,17,42.09,43,-0.91,0.62,506,91.68,91.5,-0.18,1033.42,722,94.17,94.04,-0.13,3.11
Peter Budaj,MTL,12-13,13,21.44,25,-2.56,-0.11,273,92.15,90.84,-1.3,652.52,389,94.49,93.57,-0.91,-0.56
Peter Budaj,MTL,13-14,24,53.52,56,-1.48,0.71,615,91.3,90.89,-0.4,1329.05,887,93.97,93.69,-0.28,3.55
Peter Budaj,L.A,15-16,1,2.11,4,-1.89,-0.35,28,92.46,85.71,-6.75,62.3,33,93.6,87.88,-5.72,-1.68
Peter Budaj,L.A,16-17,53,109.7,107,7.7,3.56,1286,91.47,91.68,0.21,3008.8,1854,94.08,94.23,0.15,17.98
Peter Budaj,T.B,16-17,7,10.02,13,-1.98,-0.2,128,92.17,89.84,-2.33,274.87,175,94.27,92.57,-1.7,-1.03
Peter Budaj,T.B,17-18,8,18.74,27,-8.26,-1.21,217,91.36,87.56,-3.8,425.63,291,93.56,90.72,-2.84,-6.53
Peter Budaj,L.A,18-19,3,2.75,6,-2.25,-0.37,33,91.67,81.82,-9.85,71.43,44,93.75,86.36,-7.39,-2.03
Peter Mannino,NYI,08-09,3,8.91,10,-0.09,0.14,87,89.76,88.51,-1.25,128.17,120,92.57,91.67,-0.91,0.73
Peter Mannino,ATL,10-11,2,3.71,5,-1.29,-0.19,36,89.7,86.11,-3.59,72.78,48,92.28,89.58,-2.69,-0.96
Peter Mannino,WPG,11-12,1,0.29,0,0.29,0.06,4,92.83,100.0,7.17,19.85,6,95.22,100.0,4.78,0.32
Petr Mrazek,DET,12-13,2,2.98,4,-1.02,-0.15,51,94.17,92.16,-2.01,119.15,76,96.08,94.74,-1.35,-0.75
Petr Mrazek,DET,13-14,9,14.75,13,1.75,0.64,178,91.71,92.7,0.98,448.28,239,93.83,94.56,0.73,3.18
Petr Mrazek,DET,14-15,29,65.04,63,4.04,2.04,767,91.52,91.79,0.27,1566.18,1023,93.64,93.84,0.2,10.01
Petr Mrazek,DET,15-16,54,120.87,115,9.87,4.35,1448,91.65,92.06,0.41,2935.03,1974,93.88,94.17,0.3,21.1
Petr Mrazek,DET,16-17,50,123.18,145,-18.82,-1.46,1463,91.58,90.09,-1.49,2843.93,1992,93.82,92.72,-1.1,-7.35
Petr Mrazek,DET,17-18,22,56.79,57,0.79,1.12,630,90.99,90.95,-0.03,1179.45,889,93.61,93.59,-0.02,6.04
Petr Mrazek,PHI,17-18,17,42.78,49,-5.22,-0.19,450,90.49,89.11,-1.38,903.0,627,93.18,92.19,-0.99,-1.04
Petr Mrazek,CAR,18-19,40,99.94,95,5.94,2.82,1104,90.95,91.39,0.45,2358.82,1553,93.56,93.88,0.32,15.36
Petr Mrazek,CAR,19-20,40,102.54,104,-0.46,1.65,1091,90.6,90.47,-0.13,2296.15,1487,93.1,93.01,-0.1,8.96
Petr Mrazek,CAR,20-21,12,32.62,23,10.62,2.63,298,89.05,92.28,3.23,663.32,414,92.12,94.44,2.32,13.88
Pheonix Copley,STL,15-16,1,0.31,1,-0.69,-0.14,6,94.79,83.33,-11.46,24.43,7,95.54,85.71,-9.82,-0.66
Pheonix Copley,STL,16-17,1,3.38,5,-1.62,-0.26,29,88.35,82.76,-5.59,58.62,37,90.87,86.49,-4.38,-1.3
Pheonix Copley,WSH,18-19,27,72.15,74,3.15,1.82,776,90.7,90.46,-0.24,1511.67,1068,93.24,93.07,-0.17,9.92
Philipp Grubauer,WSH,12-13,2,6.27,5,1.27,0.37,59,89.37,91.53,2.16,83.97,75,91.64,93.33,1.7,1.83
Philipp Grubauer,WSH,13-14,17,36.49,35,1.49,0.97,469,92.22,92.54,0.32,879.87,648,94.37,94.6,0.23,4.85
Philipp Grubauer,WSH,14-15,1,1.85,2,-0.15,0.01,25,92.59,92.0,-0.59,65.0,33,94.38,93.94,-0.44,0.03
Philipp Grubauer,WSH,15-16,22,47.51,43,4.51,1.83,522,90.9,91.76,0.86,1103.85,755,93.71,94.3,0.6,8.88
Philipp Grubauer,WSH,16-17,24,53.13,43,10.13,2.96,585,90.92,92.65,1.73,1258.97,829,93.59,94.81,1.22,14.97
Philipp Grubauer,WSH,17-18,35,94.09,72,25.09,6.28,952,90.12,92.44,2.32,1846.08,1392,93.24,94.83,1.59,33.77
Philipp Grubauer,COL,18-19,37,88.46,89,2.46,1.94,1070,91.73,91.68,-0.05,2004.87,1454,93.92,93.88,-0.04,10.57
Philipp Grubauer,COL,19-20,36,90.54,90,5.54,2.58,1068,91.52,91.57,0.05,2030.82,1433,93.68,93.72,0.04,13.98
Philipp Grubauer,COL,20-21,40,86.91,77,10.91,3.58,991,91.23,92.23,1.0,2345.42,1360,93.61,94.34,0.73,18.94
Ray Emery,OTT,07-08,30,66.25,85,-18.75,-2.53,759,91.27,88.8,-2.47,1616.33,1046,93.67,91.87,-1.79,-12.8
Ray Emery,PHI,09-10,29,73.7,73,2.7,1.81,783,90.59,90.68,0.09,1671.47,1083,93.19,93.26,0.06,9.43
Ray Emery,ANA,10-11,10,20.79,20,1.79,0.71,272,92.36,92.65,0.29,522.37,407,94.89,95.09,0.19,3.65
Ray Emery,CHI,11-12,34,75.01,83,-5.99,0.17,834,91.01,90.05,-0.96,1759.58,1186,93.68,93.0,-0.67,0.83
Ray Emery,CHI,12-13,21,39.09,36,4.09,1.57,460,91.5,92.17,0.67,1104.82,620,93.69,94.19,0.5,7.83
Ray Emery,PHI,13-14,28,63.53,69,-4.47,0.29,711,91.06,90.3,-0.77,1388.3,999,93.64,93.09,-0.55,1.45
Ray Emery,PHI,14-15,31,67.46,80,-12.54,-1.28,758,91.1,89.45,-1.65,1559.53,1070,93.7,92.52,-1.17,-6.29
Reto Berra,CGY,13-14,29,66.08,81,-12.92,-1.36,788,91.61,89.72,-1.89,1644.45,1098,93.98,92.62,-1.36,-6.79
Reto Berra,COL,13-14,2,3.36,7,-3.64,-0.66,32,89.51,78.12,-11.38,71.82,47,92.86,85.11,-7.75,-3.32
Reto Berra,COL,14-15,19,32.47,33,1.47,0.93,386,91.59,91.45,-0.14,724.03,519,93.74,93.64,-0.1,4.57
Reto Berra,COL,15-16,14,30.87,29,1.87,0.97,374,91.75,92.25,0.5,715.72,522,94.09,94.44,0.36,4.71
Reto Berra,FLA,16-17,7,14.85,18,-3.15,-0.34,145,89.76,87.59,-2.17,313.1,211,92.96,91.47,-1.49,-1.7
Reto Berra,ANA,17-18,5,9.82,7,2.82,0.68,95,89.67,92.63,2.96,181.85,139,92.94,94.96,2.03,3.64
Richard Bachman,DAL,10-11,1,0.67,0,0.67,0.14,4,83.33,100.0,16.67,9.32,6,88.88,100.0,11.12,0.72
Richard Bachman,DAL,11-12,18,36.58,43,-6.42,-0.59,477,92.33,90.99,-1.35,924.05,647,94.35,93.35,-0.99,-2.93
Richard Bachman,DAL,12-13,13,26.29,33,-6.71,-0.86,288,90.87,88.54,-2.33,605.98,434,93.94,92.4,-1.55,-4.3
Richard Bachman,EDM,13-14,3,6.57,7,-0.43,0.04,83,92.09,91.57,-0.52,153.4,108,93.92,93.52,-0.4,0.19
Richard Bachman,EDM,14-15,7,16.68,15,1.68,0.66,168,90.07,91.07,1.0,314.65,239,93.02,93.72,0.7,3.26
Richard Bachman,VAN,15-16,1,2.47,3,0.47,0.14,31,92.03,90.32,-1.71,58.17,45,94.51,93.33,-1.18,0.7
Richard Bachman,VAN,16-17,5,14.3,13,1.3,0.53,162,91.17,91.98,0.8,292.3,236,93.94,94.49,0.55,2.66
Richard Bachman,VAN,18-19,1,1.84,6,-4.16,-0.73,29,93.66,79.31,-14.35,60.0,39,95.29,84.62,-10.67,-3.99
Rick Dipietro,NYI,07-08,62,165.08,169,0.08,2.99,1754,90.59,90.36,-0.22,3610.92,2426,93.2,93.03,-0.16,15.1
Rick Dipietro,NYI,08-09,5,13.42,15,-1.58,-0.08,138,90.27,89.13,-1.14,255.92,195,93.12,92.31,-0.81,-0.4
Rick Dipietro,NYI,09-10,7,15.47,16,-0.53,0.18,173,91.06,90.75,-0.31,402.75,254,93.91,93.7,-0.21,0.94
Rick Dipietro,NYI,10-11,26,78.24,88,-9.76,-0.49,771,89.85,88.59,-1.27,1525.78,1113,92.97,92.09,-0.88,-2.5
Rick Dipietro,NYI,11-12,8,16.09,22,-4.91,-0.68,177,90.91,87.57,-3.34,352.02,248,93.51,91.13,-2.38,-3.41
Rick Dipietro,NYI,12-13,3,7.7,12,-4.3,-0.72,83,90.72,85.54,-5.18,175.6,121,93.63,90.08,-3.55,-3.58
Riku Helenius,T.B,08-09,1,0.07,0,0.07,0.01,2,96.38,100.0,3.62,6.87,3,97.58,100.0,2.42,0.08
Rob Zepp,PHI,14-15,10,21.38,25,-2.62,-0.13,223,90.41,88.79,-1.62,514.67,329,93.5,92.4,-1.1,-0.62
Roberto Luongo,VAN,07-08,72,172.09,161,16.09,6.29,1943,91.14,91.71,0.57,4028.58,2715,93.66,94.07,0.41,31.76
Roberto Luongo,VAN,08-09,52,136.06,116,24.06,6.82,1487,90.85,92.2,1.35,3060.83,2070,93.43,94.4,0.97,36.45
Roberto Luongo,VAN,09-10,68,167.45,165,5.45,4.0,1901,91.19,91.32,0.13,3797.03,2592,93.54,93.63,0.09,20.82
Roberto Luongo,VAN,10-11,60,150.14,126,26.14,7.83,1751,91.43,92.8,1.38,3562.05,2360,93.64,94.66,1.02,40.06
Roberto Luongo,VAN,11-12,55,136.57,126,12.57,5.05,1576,91.33,92.01,0.67,3148.13,2068,93.4,93.91,0.51,25.19
Roberto Luongo,VAN,12-13,20,46.17,51,-2.83,0.3,550,91.6,90.73,-0.88,1192.57,751,93.85,93.21,-0.64,1.47
Roberto Luongo,FLA,13-14,14,34.88,33,1.88,1.0,432,91.93,92.36,0.43,797.32,596,94.15,94.46,0.31,5.02
Roberto Luongo,VAN,13-14,42,93.35,96,0.35,1.82,1154,91.91,91.68,-0.23,2404.05,1589,94.13,93.96,-0.17,9.12
Roberto Luongo,FLA,14-15,61,129.25,138,-3.75,1.64,1740,92.57,92.07,-0.5,3511.18,2359,94.52,94.15,-0.37,8.06
Roberto Luongo,FLA,15-16,62,141.95,141,4.95,3.74,1798,92.11,92.16,0.05,3551.77,2433,94.17,94.2,0.04,18.17
Roberto Luongo,FLA,16-17,40,100.63,103,-0.37,1.8,1217,91.73,91.54,-0.19,2328.68,1580,93.63,93.48,-0.15,9.1
Roberto Luongo,FLA,17-18,35,96.6,81,17.6,4.96,1143,91.55,92.91,1.36,1944.95,1500,93.56,94.6,1.04,26.68
Roberto Luongo,FLA,18-19,43,110.4,122,-6.6,0.75,1205,90.84,89.88,-0.96,2326.22,1691,93.47,92.79,-0.69,4.1
Robin Lehner,OTT,10-11,8,15.6,20,-4.4,-0.58,178,91.23,88.76,-2.47,340.17,243,93.58,91.77,-1.81,-2.98
Robin Lehner,OTT,11-12,5,12.82,10,3.82,1.01,153,91.62,93.46,1.84,295.8,209,93.87,95.22,1.35,5.02
Robin Lehner,OTT,12-13,12,32.84,27,5.84,1.8,424,92.25,93.63,1.38,731.53,562,94.16,95.2,1.04,8.94
Robin Lehner,OTT,13-14,36,94.08,97,0.08,1.76,1138,91.73,91.48,-0.26,1930.75,1510,93.77,93.58,-0.19,8.81
Robin Lehner,OTT,14-15,25,63.44,74,-10.56,-0.93,779,91.86,90.5,-1.36,1479.22,1049,93.95,92.95,-1.01,-4.58
Robin Lehner,BUF,15-16,21,48.73,46,2.73,1.5,622,92.17,92.6,0.44,1137.55,845,94.23,94.56,0.32,7.29
Robin Lehner,BUF,16-17,59,147.11,152,-3.89,1.92,1911,92.3,92.05,-0.26,3372.35,2564,94.26,94.07,-0.19,9.7
Robin Lehner,BUF,17-18,53,130.63,142,-1.37,2.02,1560,91.63,90.9,-0.73,2809.5,2111,93.81,93.27,-0.54,10.85
Robin Lehner,NYI,18-19,46,111.49,93,19.49,5.51,1323,91.57,92.97,1.4,2588.98,1823,93.88,94.9,1.01,29.99
Robin Lehner,CHI,19-20,33,90.52,94,1.52,1.85,1152,92.14,91.84,-0.3,1843.13,1439,93.71,93.47,-0.24,10.03
Robin Lehner,VGK,19-20,3,6.46,5,1.46,0.38,83,92.22,93.98,1.76,177.97,110,94.13,95.45,1.32,2.07
Robin Lehner,VGK,20-21,19,50.16,44,6.16,2.06,505,90.07,91.29,1.22,1145.2,724,93.07,93.92,0.85,10.9
Roman Will,COL,15-16,1,0.26,1,-0.74,-0.15,3,91.29,66.67,-24.62,18.47,4,93.46,75.0,-18.46,-0.71
Ryan Miller,BUF,07-08,75,174.67,194,-14.33,0.38,2067,91.55,90.61,-0.94,4375.83,2826,93.82,93.14,-0.68,1.92
Ryan Miller,BUF,08-09,59,149.68,144,8.68,4.17,1746,91.43,91.75,0.33,3374.13,2405,93.78,94.01,0.24,22.29
Ryan Miller,BUF,09-10,68,188.55,148,43.55,11.8,2067,90.88,92.84,1.96,3969.1,2844,93.37,94.8,1.43,61.38
Ryan Miller,BUF,10-11,66,168.2,165,5.2,4.06,1962,91.43,91.59,0.16,3812.42,2706,93.78,93.9,0.12,20.76
Ryan Miller,BUF,11-12,61,151.52,149,5.52,4.02,1787,91.52,91.66,0.14,3515.97,2446,93.81,93.91,0.1,20.07
Ryan Miller,BUF,12-13,40,112.11,108,5.11,3.1,1270,91.17,91.5,0.32,2285.62,1743,93.57,93.8,0.24,15.44
Ryan Miller,BUF,13-14,40,113.81,108,5.81,3.25,1410,91.93,92.34,0.41,2371.4,1908,94.03,94.34,0.3,16.27
Ryan Miller,STL,13-14,19,38.58,46,-7.42,-0.78,474,91.86,90.3,-1.57,1107.45,669,94.23,93.12,-1.11,-3.9
Ryan Miller,VAN,14-15,45,101.83,105,-1.17,1.7,1194,91.47,91.21,-0.27,2497.52,1681,93.94,93.75,-0.19,8.36
Ryan Miller,VAN,15-16,51,139.7,136,8.7,4.52,1632,91.44,91.67,0.23,3022.03,2192,93.63,93.8,0.17,21.92
Ryan Miller,VAN,16-17,54,144.03,150,-2.97,2.1,1736,91.7,91.36,-0.34,3199.57,2313,93.77,93.51,-0.26,10.6
Ryan Miller,ANA,17-18,28,67.41,53,17.41,4.39,739,90.88,92.83,1.95,1333.78,1024,93.42,94.82,1.41,23.57
Ryan Miller,ANA,18-19,20,51.59,51,0.59,0.98,578,91.07,91.18,0.1,1092.83,813,93.65,93.73,0.07,5.35
Ryan Miller,ANA,19-20,23,58.98,64,-3.02,0.46,678,91.3,90.56,-0.74,1195.73,930,93.66,93.12,-0.54,2.48
Ryan Miller,ANA,20-21,16,39.94,51,-11.06,-1.39,432,90.76,88.19,-2.56,869.03,599,93.33,91.49,-1.85,-7.35
Sam Montembeault,FLA,18-19,11,26.32,30,-3.68,-0.21,282,90.67,89.36,-1.3,587.78,404,93.49,92.57,-0.91,-1.14
Sam Montembeault,FLA,19-20,14,29.58,39,-9.42,-1.23,355,91.67,89.01,-2.65,695.67,492,93.99,92.07,-1.92,-6.65
Sami Aittokallio,COL,12-13,1,2.27,2,0.27,0.09,25,90.91,92.0,1.09,49.25,39,94.17,94.87,0.7,0.47
Sami Aittokallio,COL,13-14,1,2.19,3,-0.81,-0.12,18,87.83,83.33,-4.49,39.92,29,92.44,89.66,-2.79,-0.62
Scott Clemmensen,TOR,07-08,3,6.78,10,-2.22,-0.32,62,89.06,83.87,-5.19,153.63,101,93.28,90.1,-3.18,-1.6
Scott Clemmensen,N.J,08-09,40,91.16,92,2.16,1.98,1135,91.97,91.89,-0.07,2354.83,1532,94.05,93.99,-0.05,10.56
Scott Clemmensen,FLA,09-10,23,56.09,58,2.09,1.4,667,91.59,91.3,-0.29,1189.22,918,93.89,93.68,-0.21,7.27
Scott Clemmensen,FLA,10-11,31,69.45,73,-0.55,1.16,833,91.66,91.24,-0.43,1688.52,1211,94.27,93.97,-0.29,5.92
Scott Clemmensen,FLA,11-12,30,57.59,67,-9.41,-0.81,773,92.55,91.33,-1.22,1556.73,1047,94.5,93.6,-0.9,-4.02
Scott Clemmensen,FLA,12-13,19,38.52,53,-14.48,-2.2,421,90.85,87.41,-3.44,863.48,594,93.51,91.08,-2.44,-10.93
Scott Clemmensen,FLA,13-14,17,38.1,47,-8.9,-1.07,454,91.61,89.65,-1.96,907.15,624,93.89,92.47,-1.43,-5.35
Scott Clemmensen,N.J,14-15,3,5.57,8,-0.43,0.01,54,89.69,85.19,-4.5,99.32,70,92.05,88.57,-3.47,0.05
Scott Darling,CHI,14-15,14,36.34,27,9.34,2.61,419,91.33,93.56,2.23,826.57,560,93.51,95.18,1.67,12.81
Scott Darling,CHI,15-16,29,66.49,67,0.49,1.39,781,91.49,91.42,-0.07,1547.07,1067,93.77,93.72,-0.05,6.73
Scott Darling,CHI,16-17,32,70.47,67,5.47,2.41,877,91.96,92.36,0.4,1670.95,1145,93.85,94.15,0.3,12.2
Scott Darling,CAR,17-18,43,107.29,131,-22.71,-2.32,1170,90.83,88.8,-2.03,2458.8,1663,93.55,92.12,-1.43,-12.5
Scott Darling,CAR,18-19,8,22.27,27,-4.73,-0.47,233,90.44,88.41,-2.03,483.48,336,93.37,91.96,-1.41,-2.57
Scott Foster,CHI,17-18,1,0.51,0,0.51,0.1,7,92.77,100.0,7.23,14.02,11,95.4,100.0,4.6,0.55
Scott Wedgewood,N.J,15-16,4,9.07,5,4.07,1.01,116,92.18,95.69,3.51,235.12,160,94.33,96.88,2.54,4.9
Scott Wedgewood,ARI,17-18,20,54.66,63,-4.34,0.17,587,90.69,89.27,-1.42,1091.37,877,93.77,92.82,-0.95,0.94
Scott Wedgewood,N.J,20-21,16,41.17,46,-3.83,-0.01,457,90.99,89.93,-1.06,880.17,616,93.32,92.53,-0.78,-0.05
Sebastien Caron,T.B,11-12,3,5.1,7,-1.9,-0.28,57,91.05,87.72,-3.33,134.62,79,93.54,91.14,-2.4,-1.41
Semyon Varlamov,WSH,08-09,6,16.05,13,3.05,0.85,159,89.91,91.82,1.92,325.02,215,92.53,93.95,1.42,4.55
Semyon Varlamov,WSH,09-10,26,61.83,65,-0.17,1.09,717,91.38,90.93,-0.44,1515.13,1021,93.94,93.63,-0.31,5.66
Semyon Varlamov,WSH,10-11,27,64.6,58,9.6,3.05,758,91.48,92.35,0.87,1545.98,1087,94.06,94.66,0.61,15.58
Semyon Varlamov,COL,11-12,53,136.03,135,3.03,3.14,1562,91.29,91.36,0.07,3119.07,2180,93.76,93.81,0.05,15.69
Semyon Varlamov,COL,12-13,35,95.02,98,-0.98,1.53,1007,90.56,90.27,-0.3,1938.58,1422,93.32,93.11,-0.21,7.62
Semyon Varlamov,COL,13-14,63,169.49,143,32.49,9.62,1995,91.5,92.83,1.33,3592.43,2740,93.81,94.78,0.97,48.1
Semyon Varlamov,COL,14-15,57,156.63,140,20.63,7.18,1777,91.19,92.12,0.94,3242.2,2509,93.76,94.42,0.66,35.24
Semyon Varlamov,COL,15-16,57,148.12,147,4.12,3.73,1713,91.35,91.42,0.07,3126.5,2394,93.81,93.86,0.05,18.08
Semyon Varlamov,COL,16-17,24,60.76,76,-13.24,-1.51,744,91.83,89.78,-2.05,1336.07,980,93.8,92.24,-1.56,-7.6
Semyon Varlamov,COL,17-18,51,138.65,128,17.65,5.69,1595,91.31,91.97,0.67,2834.48,2215,93.74,94.22,0.48,30.59
Semyon Varlamov,COL,18-19,49,130.81,136,-4.19,1.44,1496,91.26,90.91,-0.35,2821.05,2017,93.51,93.26,-0.26,7.82
Semyon Varlamov,NYI,19-20,45,104.93,110,0.93,1.99,1278,91.79,91.39,-0.4,2473.12,1852,94.33,94.06,-0.27,10.79
Semyon Varlamov,NYI,20-21,36,77.83,72,7.83,2.86,1020,92.37,92.94,0.57,2094.08,1417,94.51,94.92,0.41,15.09
Sergei Bobrovsky,PHI,10-11,54,138.54,128,15.54,5.55,1525,90.92,91.61,0.69,2998.28,2125,93.48,93.98,0.5,28.38
Sergei Bobrovsky,PHI,11-12,29,74.18,77,-1.82,0.99,767,90.33,89.96,-0.37,1538.77,1092,93.21,92.95,-0.26,4.96
Sergei Bobrovsky,CBJ,12-13,38,81.84,74,8.84,3.33,1084,92.45,93.17,0.72,2209.45,1464,94.41,94.95,0.54,16.56
Sergei Bobrovsky,CBJ,13-14,58,123.03,131,-2.97,1.64,1696,92.75,92.28,-0.47,3269.3,2237,94.5,94.14,-0.36,8.22
Sergei Bobrovsky,CBJ,14-15,51,123.77,134,-6.23,1.03,1632,92.42,91.79,-0.63,2978.98,2194,94.36,93.89,-0.47,5.06
Sergei Bobrovsky,CBJ,15-16,37,87.98,97,-6.02,0.44,1047,91.6,90.74,-0.86,2099.28,1437,93.88,93.25,-0.63,2.12
Sergei Bobrovsky,CBJ,16-17,63,167.63,127,45.63,12.13,1854,90.96,93.15,2.19,3658.2,2561,93.45,95.04,1.59,61.28
Sergei Bobrovsky,CBJ,17-18,65,183.08,158,28.08,8.41,1993,90.81,92.07,1.26,3877.92,2728,93.29,94.21,0.92,45.21
Sergei Bobrovsky,CBJ,18-19,62,155.57,152,7.57,4.15,1755,91.14,91.34,0.2,3512.98,2420,93.57,93.72,0.15,22.54
Sergei Bobrovsky,FLA,19-20,50,138.44,149,-6.56,1.19,1472,90.6,89.88,-0.72,2740.02,1986,93.03,92.5,-0.53,6.46
Sergei Bobrovsky,FLA,20-21,31,78.57,88,-5.43,0.37,933,91.58,90.57,-1.01,1790.55,1200,93.45,92.67,-0.79,1.96
Spencer Knight,FLA,20-21,4,6.65,8,-0.35,0.06,100,93.35,92.0,-1.35,203.87,120,94.46,93.33,-1.13,0.29
Spencer Martin,COL,16-17,3,8.53,13,-4.47,-0.73,96,91.11,86.46,-4.65,179.43,130,93.44,90.0,-3.44,-3.69
Steve Mason,CBJ,08-09,59,132.98,137,-1.02,2.08,1618,91.78,91.53,-0.25,3521.52,2227,94.03,93.85,-0.18,11.1
Steve Mason,CBJ,09-10,57,127.39,163,-32.61,-4.04,1614,92.11,89.9,-2.21,3141.17,2175,94.14,92.51,-1.64,-21.02
Steve Mason,CBJ,10-11,54,122.58,153,-26.42,-2.97,1541,92.05,90.07,-1.97,3006.73,2054,94.03,92.55,-1.48,-15.18
Steve Mason,CBJ,11-12,46,94.77,143,-45.23,-7.29,1355,93.01,89.45,-3.56,2515.6,1744,94.57,91.8,-2.77,-36.37
Steve Mason,CBJ,12-13,13,25.13,35,-9.87,-1.51,345,92.72,89.86,-2.86,711.25,460,94.54,92.39,-2.15,-7.52
Steve Mason,PHI,12-13,7,17.85,12,5.85,1.52,215,91.7,94.42,2.72,374.07,287,93.78,95.82,2.04,7.55
Steve Mason,PHI,13-14,61,142.41,145,3.41,3.33,1750,91.86,91.71,-0.15,3457.92,2364,93.98,93.87,-0.11,16.63
Steve Mason,PHI,14-15,51,127.49,108,22.49,7.0,1490,91.44,92.75,1.31,2871.13,2023,93.7,94.66,0.96,34.33
Steve Mason,PHI,15-16,54,140.25,131,15.25,5.88,1601,91.24,91.82,0.58,3122.65,2150,93.48,93.91,0.43,28.54
Steve Mason,PHI,16-17,58,141.58,143,-1.42,2.35,1556,90.9,90.81,-0.09,3203.57,2164,93.46,93.39,-0.07,11.89
